sentinel semarang,Tide Smrg,sentinel Jepara,Tide Jpr,sentinel Pekalongan,Tide Pklgn
0.022,,0.017,,-0.055,
-0.006,-0.012,0.000,0.004,-0.033,
-0.077,-0.092,-0.064,-0.081,0.042,
0.025,-0.069,0.069,-0.165,-0.012,
-0.080,-0.009,-0.084,0.107,0.008,
0.024,-0.091,0.061,0.000,0.071,
-0.067,0.076,-0.066,-0.008,-0.050,-0.008
0.017,0.002,0.030,-0.005,,
-0.013,,0.003,,0.046,
-0.002,0.032,-0.016,0.050,-0.116,0.022
-0.044,-0.083,-0.040,-0.070,0.072,-0.045
-0.020,0.017,-0.012,0.031,-0.029,-0.046
0.021,0.009,0.025,0.022,-0.004,0.053
0.093,-0.024,0.072,-0.014,0.011,-0.023
0.010,-0.085,0.030,-0.028,-0.013,-0.015
,,,,0.004,-0.059
-0.041,,-0.022,,0.001,
0.000,0.065,-0.001,0.070,0.042,0.042
-0.057,-0.098,-0.066,-0.090,0.014,-0.106
0.002,0.014,-0.005,0.022,0.039,0.030
0.015,0.059,0.013,0.079,-0.012,0.051
-0.005,-0.008,0.009,0.001,0.038,0.008
-0.118,-0.053,-0.067,-0.008,-0.124,-0.017
0.039,-0.032,0.011,0.005,0.060,-0.066
-0.016,,-0.020,,0.019,
0.031,-0.035,0.036,0.025,0.007,-0.006
-0.081,-0.110,-0.074,-0.079,-0.043,-0.089
0.002,0.033,-0.007,0.033,0.030,-0.004
0.002,0.049,0.000,0.066,-0.075,0.063
-0.028,-0.014,-0.002,0.007,-0.045,0.005
-0.026,-0.247,-0.032,0.023,-0.198,0.022
-0.023,-0.007,0.040,-0.002,0.183,0.019
0.009,,0.022,,0.004,
-0.033,-0.026,-0.038,0.009,-0.029,-0.021
-0.010,-0.098,-0.002,-0.061,0.008,-0.130
-0.006,-0.091,0.017,-0.115,0.049,-0.038
0.011,0.157,0.006,0.102,-0.027,0.027
-0.061,-0.004,-0.018,0.038,0.100,0.011
-0.014,-0.035,-0.015,-0.045,-0.027,-0.016
-0.039,-0.021,0.001,-0.023,0.000,0.024
0.038,,0.032,,0.030,
0.010,0.053,0.024,0.074,-0.031,0.048
0.080,-0.097,0.093,-0.111,-0.031,-0.101
-0.130,-0.034,-0.151,-0.034,,-0.021
-0.002,0.041,-0.013,0.059,-0.019,0.037
0.006,0.003,-0.022,0.016,-0.019,-0.001
-0.035,-0.059,-0.012,-0.035,-0.002,-0.089
-0.089,-0.035,-0.079,-0.044,,
